Verb,Tense
বলিতেছে,Present
বলিতেছেন,Present
বলিতেন,Past
বলিব,Future
বলিবার,Present
বলিবি,Future
বলিবে,Future
বলিবেন,Future
বলিয়া,Participle
বলিয়াছ,Present
বলিয়াছি,Present
বলিয়াছিল,Past
বলিয়াছিলাম,Past
বলিয়াছিলি,Past
বলিয়াছিলে,Past
বলিয়াছিলেন,Past
বলিয়াছিস,Present
বলিয়াছে,Present
বলিয়াছেন,Present
বলিয়ে,Participle
বলিয়েছ,Present
বলিয়েছি,Present
বলিয়েছিল,Past
বলিয়েছিলাম,Past
বলিয়েছিলি,Past
বলিয়েছিলুম,Past
বলিয়েছিলে,Past
বলিয়েছিলেন,Past
বলিয়েছিলেম,Past
বলিয়েছিস,Present
বলিয়েছে,Present
বলিয়েছেন,Present
বলিয়ো,Present
বলিল,Past
বলিলাম,Past
বলিলি,Past
বলিলে,Past
বলিলেন,Past
বলিস,Present
বলুক,Present
বলুন,Present
বলে,Past
বলেছ,Present
বলেছি,Present
বলেছিল,Past
বলেছিলাম,Past
বলেছিলি,Past
বলেছিলুম,Past
বলেছিলে,Past
বলেছিলেন,Past
বলেছিলেম,Past
বলেছিস,Present
বলেছে,Present
বলেছেন,Present
বলেন,Past
বলো,Present
বলছ,Present
বলছি,Present
বলছিল,Past
বলছিলাম,Past
বলছিলি,Past
বলছিলুম,Past
বলছিলে,Past
বলছিলেন,Past
বলছিলেম,Past
বলছিস,Present
বলছে,Present
বলছেন,Present
বলত,Past
বলতাম,Past
বলতিস,Past
বলতুম,Past
বলতে,Past
বলতেন,Past
বলতেম,Past
বলব,Future
বলবার,Present
বলবি,Future
বলবে,Future
বলবেন,Future
বলবো,Future
বলল,Past
বললাম,Past
বললি,Past
বললুম,Past
বললে,Past
বললেন,Past
বললেম,Past
ভাব,Root
ভাবা,Base
ভাবাই,Present
ভাবাইও,Present
ভাবাইত,Past
ভাবাইতাম,Past
ভাবাইতিস,Past
ভাবাইতে,Past
ভাবাইতেছ,Present
ভাবাইতেছি,Present
ভাবাইতেছিল,Past
ভাবাইতেছিলাম,Past
ভাবাইতেছিলি,Past
ভাবাইতেছিলে,Past
ভাবাইতেছিলেন,Past
ভাবাইতেছিস,Present
ভাবাইতেছে,Present
ভাবাইতেছেন,Present
ভাবাইতেন,Past
ভাবাইব,Future
ভাবাইবার,Present
ভাবাইবি,Future
ভাবাইবে,Future
ভাবাইবেন,Future
ভাবাইয়া,Participle
ভাবাইয়াছ,Present
ভাবাইয়াছি,Present
ভাবাইয়াছিল,Past
ভাবাইয়াছিলাম,Past
ভাবাইয়াছিলি,Past
ভাবাইয়াছিলে,Past
ভাবাইয়াছিলেন,Past
ভাবাইয়াছিস,Present
ভাবাইয়াছে,Present
ভাবাইয়াছেন,Present
ভাবাইয়ো,Present
ভাবাইল,Past
ভাবাইলাম,Past
ভাবাইলি,Past
ভাবাইলে,Past
ভাবাইলেন,Past
ভাবাও,Present
ভাবাক,Present
ভাবাচ্ছ,Present
ভাবাচ্ছি,Present
ভাবাচ্ছিল,Past
ভাবাচ্ছিলাম,Past
ভাবাচ্ছিলি,Past
ভাবাচ্ছিলুম,Past
ভাবাচ্ছিলে,Past
ভাবাচ্ছিলেন,Past
ভাবাচ্ছিলেম,Past
ভাবাচ্ছিস,Present
ভাবাচ্ছে,Present
ভাবাচ্ছেন,Present
ভাবাত,Past
ভাবাতাম,Past
ভাবাতিস,Past
ভাবাতুম,Past
ভাবাতে,Past
ভাবাতেন,Past
ভাবাতেম,Past
ভাবান,Present
ভাবানো,Present
ভাবাব,Future
ভাবাবার,Present
ভাবাবি,Future
ভাবাবে,Future
ভাবাবেন,Future
ভাবাবো,Future
ভাবায়,Present
ভাবার,Present
ভাবাল,Past
ভাবালাম,Past
ভাবালি,Past
ভাবালুম,Past
ভাবালে,Past
ভাবালেন,Past
ভাবালেম,Past
ভাবাস,Present
ভাবি,Future
ভাবিও,Present
ভাবিত,Past
ভাবিতাম,Past
ভাবিতিস,Past
ভাবিতে,Past
ভাবিতেছ,Present
ভাবিতেছি,Present
ভাবিতেছিল,Past
ভাবিতেছিলাম,Past
ভাবিতেছিলি,Past
ভাবিতেছিলে,Past
ভাবিতেছিলেন,Past
ভাবিতেছিস,Present
ভাবিতেছে,Present
ভাবিতেছেন,Present
ভাবিতেন,Past
ভাবিব,Future
ভাবিবার,Present
ভাবিবি,Future
ভাবিবে,Future
ভাবিবেন,Future
ভাবিয়া,Participle
ভাবিয়াছ,Present
ভাবিয়াছি,Present
ভাবিয়াছিল,Past
ভাবিয়াছিলাম,Past
ভাবিয়াছিলি,Past
ভাবিয়াছিলে,Past
ভাবিয়াছিলেন,Past
ভাবিয়াছিস,Present
ভাবিয়াছে,Present
ভাবিয়াছেন,Present
ভাবিয়ে,Participle
ভাবিয়েছ,Present
ভাবিয়েছি,Present
ভাবিয়েছিল,Past
ভাবিয়েছিলাম,Past
ভাবিয়েছিলি,Past
ভাবিয়েছিলুম,Past
ভাবিয়েছিলে,Past
ভাবিয়েছিলেন,Past
ভাবিয়েছিলেম,Past
ভাবিয়েছিস,Present
ভাবিয়েছে,Present
ভাবিয়েছেন,Present
ভাবিয়ো,Present
ভাবিল,Past
ভাবিলাম,Past
ভাবিলি,Past
ভাবিলে,Past
ভাবিলেন,Past
ভাবিস,Present
ভাবুক,Present
ভাবুন,Present
ভাবে,Future
ভাবেন,Future
ভাবছ,Present
ভাবছি,Present
ভাবছিল,Past
ভাবছিলাম,Past
ভাবছিলি,Past
ভাবছিলুম,Past
ভাবছিলে,Past
ভাবছিলেন,Past
ভাবছিলেম,Past
ভাবছিস,Present
ভাবছে,Present
ভাবছেন,Present
ভাবত,Past
ভাবতাম,Past
ভাবতিস,Past
ভাবতুম,Past
ভাবতে,Past
ভাবতেন,Past
ভাবতেম,Past
ভাবব,Future
ভাববার,Present
ভাববি,Future
ভাববে,Future
ভাববেন,Future
ভাববো,Future
ভাবল,Past
ভাবলাম,Past
ভাবলি,Past
ভাবলুম,Past
ভাবলে,Past
ভাবলেন,Past
ভাবলেম,Past
ভোগ,Root
ভোগা,Base
ভোগাই,Present
ভোগাও,Present
ভোগাক,Present
ভোগাচ্ছ,Present
ভোগাচ্ছি,Present
ভোগাচ্ছিল,Past
ভোগাচ্ছিলাম,Past
ভোগাচ্ছিলি,Past
ভোগাচ্ছিলুম,Past
ভোগাচ্ছিলে,Past
ভোগাচ্ছিলেন,Past
ভোগাচ্ছিলেম,Past
ভোগাচ্ছিস,Present
ভোগাচ্ছে,Present
ভোগাচ্ছেন,Present
ভোগাত,Past
ভোগাতাম,Past
ভোগাতিস,Past
ভোগাতুম,Past
ভোগাতে,Past
ভোগাতেন,Past
ভোগাতেম,Past
ভোগান,Present
ভোগানো,Present
ভোগাব,Future
ভোগাবার,Present
ভোগাবি,Future
ভোগাবে,Future
ভোগাবেন,Future
ভোগাবো,Future
ভোগায়,Present
ভোগার,Present
ভোগাল,Past
ভোগালাম,Past
ভোগালি,Past
ভোগালুম,Past
ভোগালে,Past
ভোগালেন,Past
ভোগালেম,Past
ভোগাস,Present
ভোগে,Present
ভোগেন,Present
ভোগবার,Present
মর,Root
মরা,Base
মরার,Present
মরি,Present
মরিও,Present
মরিত,Past
মরিতাম,Past
মরিতিস,Past
মরিতে,Past
মরিতেছ,Present
মরিতেছি,Present
মরিতেছিল,Past
মরিতেছিলাম,Past
মরিতেছিলি,Past
মরিতেছিলে,Past
মরিতেছিলেন,Past
মরিতেছিস,Present
মরিতেছে,Present
মরিতেছেন,Present
মরিতেন,Past
মরিব,Future
মরিবার,Present
মরিবি,Future
মরিবে,Future
মরিবেন,Future
মরিয়া,Participle
মরিয়াছ,Present
মরিয়াছি,Present
মরিয়াছিল,Past
মরিয়াছিলাম,Past
মরিয়াছিলি,Past
মরিয়াছিলে,Past
মরিয়াছিলেন,Past
মরিয়াছিস,Present
মরিয়াছে,Present
মরিয়াছেন,Present
মরিয়ো,Present
মরিল,Past
মরিলাম,Past
মরিলি,Past
মরিলে,Past
মরিলেন,Past
মরিস,Present
মরুক,Present
মরুন,Present
মরে,Present
মরেছ,Present
মরেছি,Present
মরেছিল,Past
মরেছিলাম,Past
মরেছিলি,Past
মরেছিলুম,Past
মরেছিলে,Past
মরেছিলেন,Past
মরেছিলেম,Past
মরেছিস,Present
মরেছে,Present
মরেছেন,Present
মরেন,Present
মরো,Present
মরছ,Present
মরছি,Present
মরছিল,Past
মরছিলাম,Past
মরছিলি,Past
মরছিলুম,Past
মরছিলে,Past
মরছিলেন,Past
মরছিলেম,Past
মরছিস,Present
মরছে,Present
মরছেন,Present
মরত,Past
মরতাম,Past
মরতিস,Past
মরতুম,Past
মরতে,Past
মরতেন,Past
মরতেম,Past
মরব,Future
মরবার,Present
মরবি,Future
মরবে,Future
মরবেন,Future
মরবো,Future
মরল,Past
মরলাম,Past
মরলি,Past
মরলুম,Past
মরলে,Past
মরলেন,Past
মরলেম,Past
যা,Root
যাই,Present
যাইও,Present
যাইত,Past
যাইতাম,Past
যাইতিস,Past
যাইতে,Past
যাইতেছ,Present
যাইতেছি,Present
যাইতেছিল,Past
যাইতেছিলাম,Past
যাইতেছিলি,Past
যাইতেছিলে,Past
যাইতেছিলেন,Past
যাইতেছিস,Present
যাইতেছে,Present
যাইতেছেন,Present
যাইতেন,Past
যাইব,Future
যাইবার,Present
যাইবি,Future
যাইবে,Future
যাইবেন,Future
যাইয়া,Participle
যাইয়ো,Present
যাইল,Past
যাইলাম,Past
যাইলি,Past
যাইলে,Past
যাইলেন,Past
যাও,Present
যাওয়া,Base
যাক,Present
লেখ,Root
লেখা,Base
লেখাই,Present
লেখাও,Present
লেখাক,Present
লেখাচ্ছ,Present
লেখাচ্ছি,Present
লেখাচ্ছিল,Past
লেখাচ্ছিলাম,Past
লেখাচ্ছিলি,Past
লেখাচ্ছিলুম,Past
লেখাচ্ছিলে,Past
লেখাচ্ছিলেন,Past
লেখাচ্ছিলেম,Past
লেখাচ্ছিস,Present
লেখাচ্ছে,Present
লেখাচ্ছেন,Present
লেখাত,Past
লেখাতাম,Past
লেখাতিস,Past
লেখাতুম,Past
লেখাতে,Past
লেখাতেন,Past
লেখাতেম,Past
লেখান,Present
লেখানো,Present
লেখাব,Future
লেখাবার,Present
লেখাবি,Future
লেখাবে,Future
লেখাবেন,Future
লেখাবো,Future
লেখায়,Present
লেখার,Present
লেখাল,Past
লেখালাম,Past
লেখালি,Past
লেখালুম,Past
লেখালে,Past
লেখালেন,Past
লেখালেম,Past
লেখাস,Present
লেখে,Present
লেখেন,Present
লেখবার,Present
শোন,Root
শোনা,Base
শোনাই,Present
শোনাও,Present
শোনাক,Present
শোনাচ্ছ,Present
শোনাচ্ছি,Present
শোনাচ্ছিল,Past
শোনাচ্ছিলাম,Past
শোনাচ্ছিলি,Past
শোনাচ্ছিলুম,Past
শোনাচ্ছিলে,Past
শোনাচ্ছিলেন,Past
শোনাচ্ছিলেম,Past
শোনাচ্ছিস,Present
শোনাচ্ছে,Present
শোনাচ্ছেন,Present
শোনাত,Past
শোনাতাম,Past
শোনাতিস,Past
শোনাতুম,Past
শোনাতে,Past
শোনাতেন,Past
শোনাতেম,Past
শোনান,Present
শোনানো,Present
শোনাব,Future
শোনাবার,Present
শোনাবি,Future
শোনাবে,Future
শোনাবেন,Future
শোনাবো,Future
শোনায়,Present
শোনার,Present
শোনাল,Past
শোনালাম,Past
শোনালি,Past
শোনালুম,Past
শোনালে,Past
শোনালেন,Past
শোনালেম,Past
শোনাস,Present
শোনে,Present
শোনেন,Present
শোনবার,Present
হাসা,Base
হাসাই,Present
হাসাইও,Present
হাসাইত,Past
হাসাইতাম,Past
হাসাইতিস,Past
হাসাইতে,Past
হাসাইতেছ,Present
হাসাইতেছি,Present
হাসাইতেছিল,Past
হাসাইতেছিলাম,Past
হাসাইতেছিলি,Past
হাসাইতেছিলে,Past
হাসাইতেছিলেন,Past
হাসাইতেছিস,Present
হাসাইতেছে,Present
হাসাইতেছেন,Present
হাসাইতেন,Past
হাসাইব,Future
হাসাইবার,Present
হাসাইবি,Future
হাসাইবে,Future
হাসাইবেন,Future
হাসাইয়া,Participle
হাসাইয়াছ,Present
হাসাইয়াছি,Present
হাসাইয়াছিল,Past
হাসাইয়াছিলাম,Past
হাসাইয়াছিলি,Past
হাসাইয়াছিলে,Past
হাসাইয়াছিলেন,Past
হাসাইয়াছিস,Present
হাসাইয়াছে,Present
হাসাইয়াছেন,Present
হাসাইয়ো,Present
হাসাইল,Past
হাসাইলাম,Past
হাসাইলি,Past
হাসাইলে,Past
হাসাইলেন,Past
হাসাও,Present
হাসাক,Present
হাসাচ্ছ,Present
হাসাচ্ছি,Present
হাসাচ্ছিল,Past
হাসাচ্ছিলাম,Past
হাসাচ্ছিলি,Past
হাসাচ্ছিলুম,Past
হাসাচ্ছিলে,Past
হাসাচ্ছিলেন,Past
হাসাচ্ছিলেম,Past
হাসাচ্ছিস,Present
হাসাচ্ছে,Present
হাসাচ্ছেন,Present
হাসাত,Past
হাসাতাম,Past
হাসাতিস,Past
হাসাতুম,Past
হাসাতে,Past
হাসাতেন,Past
হাসাতেম,Past
হাসান,Present
হাসানো,Present
হাসাব,Future
হাসাবার,Present
হাসাবি,Future
হাসাবে,Future
হাসাবেন,Future
হাসাবো,Future
হাসায়,Present
হাসার,Present
হাসাল,Past
হাসালাম,Past
হাসালি,Past
হাসালুম,Past
হাসালে,Past
হাসালেন,Past
হাসালেম,Past
হাসাস,Present
হাসিও,Present
হাসিত,Past
হাসিতাম,Past
হাসিতিস,Past
হাসিতে,Past
হাসিতেছ,Present
হাসিতেছি,Present
হাসিতেছিল,Past
হাসিতেছিলাম,Past
হাসিতেছিলি,Past
হাসিতেছিলে,Past
হাসিতেছিলেন,Past
হাসিতেছিস,Present
হাসিতেছে,Present
হাসিতেছেন,Present
হাসিতেন,Past
হাসিব,Future
হাসিবার,Present
হাসিবি,Future
হাসিবে,Future
হাসিবেন,Future
হাসিয়া,Participle
হাসিয়াছ,Present
হাসিয়াছি,Present
হাসিয়াছিল,Past
হাসিয়াছিলাম,Past
হাসিয়াছিলি,Past
হাসিয়াছিলে,Past
হাসিয়াছিলেন,Past
হাসিয়াছিস,Present
হাসিয়াছে,Present
হাসিয়াছেন,Present
হাসিয়ে,Participle
হাসিয়েছ,Present
হাসিয়েছি,Present
হাসিয়েছিল,Past
হাসিয়েছিলাম,Past
হাসিয়েছিলি,Past
হাসিয়েছিলুম,Past
হাসিয়েছিলে,Past
হাসিয়েছিলেন,Past
হাসিয়েছিলেম,Past
হাসিয়েছিস,Present
হাসিয়েছে,Present
হাসিয়েছেন,Present
হাসিয়ো,Present
হাসিলাম,Past
হাসিলি,Past
হাসিলে,Past
হাসিলেন,Past
হাসিস,Present
হাসুক,Present
হাসুন,Present
হাসে,Present
হাসেন,Present
হাসছ,Present
হাসছি,Present
হাসছিল,Past
হাসছিলাম,Past
হাসছিলি,Past
হাসছিলুম,Past
হাসছিলে,Past
হাসছিলেন,Past
হাসছিলেম,Past
হাসছিস,Present
হাসছে,Present
হাসছেন,Present
হাসত,Past
হাসতাম,Past
হাসতিস,Past
হাসতুম,Past
হাসতে,Past
হাসতেন,Past
হাসতেম,Past
হাসব,Future
হাসবার,Present
হাসবি,Future
হাসবে,Future
হাসবেন,Future
হাসবো,Future
হাসল,Past
হাসলাম,Past
হাসলি,Past
হাসলুম,Past
হাসলে,Past
হাসলেন,Past
হাসলেম,Past
