Verb,Tense
কাটুন,Present
কাটে,Present
কাটেন,Present
কাটছ,Present
কাটছি,Present
কাটছিল,Past
কাটছিলাম,Past
কাটছিলি,Past
কাটছিলুম,Past
কাটছিলে,Past
কাটছিলেন,Past
কাটছিলেম,Past
কাটছিস,Present
কাটছে,Present
কাটছেন,Present
কাটত,Past
কাটতাম,Past
কাটতিস,Past
কাটতুম,Past
কাটতে,Past
কাটতেন,Past
কাটতেম,Past
কাটনো,Present
কাটব,Future
কাটবার,Present
কাটবি,Future
কাটবে,Future
কাটবেন,Future
কাটবো,Future
কাটল,Past
কাটলাম,Past
কাটলি,Past
কাটলুম,Past
কাটলে,Past
কাটলেন,Past
কাটলেম,Past
কাঁদ,Root
কাঁদা,Base
কাঁদাই,Present
কাঁদাইও,Present
কাঁদাইত,Past
কাঁদাইতাম,Past
কাঁদাইতিস,Past
কাঁদাইতে,Past
কাঁদাইতেছ,Present
কাঁদাইতেছি,Present
কাঁদাইতেছিল,Past
কাঁদাইতেছিলাম,Past
কাঁদাইতেছিলি,Past
কাঁদাইতেছিলে,Past
কাঁদাইতেছিলেন,Past
কাঁদাইতেছিস,Present
কাঁদাইতেছে,Present
কাঁদাইতেছেন,Present
কাঁদাইতেন,Past
কাঁদাইব,Future
কাঁদাইবার,Present
কাঁদাইবি,Future
কাঁদাইবে,Future
কাঁদাইবেন,Future
কাঁদাইয়া,Participle
কাঁদাইয়াছ,Present
কাঁদাইয়াছি,Present
কাঁদাইয়াছিল,Past
কাঁদাইয়াছিলাম,Past
কাঁদাইয়াছিলি,Past
কাঁদাইয়াছিলে,Past
কাঁদাইয়াছিলেন,Past
কাঁদাইয়াছিস,Present
কাঁদাইয়াছে,Present
কাঁদাইয়াছেন,Present
কাঁদাইয়ো,Present
কাঁদাইল,Past
কাঁদাইলাম,Past
কাঁদাইলি,Past
কাঁদাইলে,Past
কাঁদাইলেন,Past
কাঁদাও,Present
কাঁদাক,Present
কাঁদাচ্ছ,Present
কাঁদাচ্ছি,Present
কাঁদাচ্ছিল,Past
কাঁদাচ্ছিলাম,Past
কাঁদাচ্ছিলি,Past
কাঁদাচ্ছিলুম,Past
কাঁদাচ্ছিলে,Past
কাঁদাচ্ছিলেন,Past
কাঁদাচ্ছিলেম,Past
কাঁদাচ্ছিস,Present
কাঁদাচ্ছে,Present
কাঁদাচ্ছেন,Present
কাঁদাত,Past
কাঁদাতাম,Past
কাঁদাতিস,Past
কাঁদাতুম,Past
কাঁদাতে,Past
কাঁদাতেন,Past
কাঁদাতেম,Past
কাঁদান,Present
কাঁদানো,Present
কাঁদাব,Future
কাঁদাবার,Present
কাঁদাবি,Future
কাঁদাবে,Future
কাঁদাবেন,Future
কাঁদাবো,Future
কাঁদায়,Present
কাঁদার,Present
কাঁদাল,Past
কাঁদালাম,Past
কাঁদালি,Past
কাঁদালুম,Past
কাঁদালে,Past
কাঁদালেন,Past
কাঁদালেম,Past
কাঁদাস,Present
কাঁদি,Present
কাঁদিও,Present
কাঁদিত,Past
কাঁদিতাম,Past
কাঁদিতিস,Past
কাঁদিতে,Past
কাঁদিতেছ,Present
কাঁদিতেছি,Present
কাঁদিতেছিল,Past
কাঁদিতেছিলাম,Past
কাঁদিতেছিলি,Past
কাঁদিতেছিলে,Past
কাঁদিতেছিলেন,Past
কাঁদিতেছিস,Present
কাঁদিতেছে,Present
কাঁদিতেছেন,Present
কাঁদিতেন,Past
কাঁদিব,Future
কাঁদিবার,Present
কাঁদিবি,Future
কাঁদিবে,Future
কাঁদিবেন,Future
কাঁদিয়া,Participle
কাঁদিয়াছ,Present
কাঁদিয়াছি,Present
কাঁদিয়াছিল,Past
কাঁদিয়াছিলাম,Past
কাঁদিয়াছিলি,Past
কাঁদিয়াছিলে,Past
কাঁদিয়াছিলেন,Past
কাঁদিয়াছিস,Present
কাঁদিয়াছে,Present
কাঁদিয়াছেন,Present
কাঁদিয়ে,Participle
কাঁদিয়েছ,Present
কাঁদিয়েছি,Present
কাঁদিয়েছিল,Past
কাঁদিয়েছিলাম,Past
কাঁদিয়েছিলি,Past
কাঁদিয়েছিলুম,Past
কাঁদিয়েছিলে,Past
কাঁদিয়েছিলেন,Past
কাঁদিয়েছিলেম,Past
কাঁদিয়েছিস,Present
কাঁদিয়েছে,Present
কাঁদিয়েছেন,Present
কাঁদিয়ো,Present
কাঁদিল,Past
কাঁদিলাম,Past
কাঁদিলি,Past
কাঁদিলে,Past
কাঁদিলেন,Past
কাঁদিস,Present
কাঁদুক,Present
কাঁদুন,Present
কাঁদে,Present
কাঁদেন,Present
কাঁদছ,Present
কাঁদছি,Present
কাঁদছিল,Past
কাঁদছিলাম,Past
কাঁদছিলি,Past
কাঁদছিলুম,Past
কাঁদছিলে,Past
কাঁদছিলেন,Past
কাঁদছিলেম,Past
কাঁদছিস,Present
কাঁদছে,Present
কাঁদছেন,Present
কাঁদত,Past
কাঁদতাম,Past
কাঁদতিস,Past
কাঁদতুম,Past
কাঁদতে,Past
কাঁদতেন,Past
কাঁদতেম,Past
কাঁদব,Future
কাঁদবার,Present
কাঁদবি,Future
কাঁদবে,Future
কাঁদবেন,Future
কাঁদবো,Future
কাঁদল,Past
কাঁদলাম,Past
কাঁদলি,Past
কাঁদলুম,Past
কাঁদলে,Past
কাঁদলেন,Past
কাঁদলেম,Past
খা,Root
খাই,Present
খাইও,Present
খাইত,Past
খাইতাম,Past
খাইতিস,Past
খাইতে,Past
খাইতেছ,Present
খাইতেছি,Present
খাইতেছিল,Past
খাইতেছিলাম,Past
খাইতেছিলি,Past
খাইতেছিলে,Past
খাইতেছিলেন,Past
খাইতেছিস,Present
খাইতেছে,Present
খাইতেছেন,Present
খাইতেন,Past
খাইব,Future
খাইবার,Present
খাইবি,Future
খাইবে,Future
খাইবেন,Future
খাইয়া,Participle
খাইয়াছ,Present
খাইয়াছি,Present
খাইয়াছিল,Past
খাইয়াছিলাম,Past
খাইয়াছিলি,Past
খাইয়াছিলে,Past
খাইয়াছিলেন,Past
খাইয়াছিস,Present
খাইয়াছে,Present
খাইয়াছেন,Present
খাইয়ে,Participle
খাইয়েছ,Present
খাইয়েছি,Present
খাইয়েছিল,Past
খাইয়েছিলাম,Past
খাইয়েছিলি,Past
খাইয়েছিলুম,Past
খাইয়েছিলে,Past
খাইয়েছিলেন,Past
খাইয়েছিলেম,Past
খাইয়েছিস,Present
খাইয়েছে,Present
খাইয়েছেন,Present
খাইয়ো,Present
খাইল,Past
খাইলাম,Past
খাইলি,Past
খাইলে,Past
খাইলেন,Past
খায়,Unknown
খাও,Present
খাওয়া,Base
খাওয়াই,Present
খাওয়াইও,Present
খাওয়াইত,Past
খাওয়াইতাম,Past
খাওয়াইতিস,Past
খাওয়াইতে,Past
খাওয়াইতেছ,Present
খাওয়াইতেছি,Present
খাওয়াইতেছিল,Past
খাওয়াইতেছিলাম,Past
খাওয়াইতেছিলি,Past
খাওয়াইতেছিলে,Past
খাওয়াইতেছিলেন,Past
খাওয়াইতেছিস,Present
খাওয়াইতেছে,Present
খাওয়াইতেছেন,Present
খাওয়াইতেন,Past
খাওয়াইব,Future
খাওয়াইবার,Present
খাওয়াইবি,Future
খাওয়াইবে,Future
খাওয়াইবেন,Future
খাওয়াইয়া,Participle
খাওয়াইয়াছ,Present
খাওয়াইয়াছি,Present
খাওয়াইয়াছিল,Past
খাওয়াইয়াছিলাম,Past
খাওয়াইয়াছিলি,Past
খাওয়াইয়াছিলে,Past
খাওয়াইয়াছিলেন,Past
খাওয়াইয়াছিস,Present
খাওয়াইয়াছে,Present
